wavelength,RSR_Rrs_400,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_667,RSR_Rrs_779,RSR_Rrs_865,RSR_Rrs_1020
395,1.0,,,,,,,,,,
396,1.0,,,,,,,,,,
397,1.0,,,,,,,,,,
398,1.0,,,,,,,,,,
399,1.0,,,,,,,,,,
400,1.0,,,,,,,,,,
401,1.0,,,,,,,,,,
402,1.0,,,,,,,,,,
403,1.0,,,,,,,,,,
404,1.0,,,,,,,,,,
405,1.0,,,,,,,,,,
406,,,,,,,,,,,
407,,1.0,,,,,,,,,
408,,1.0,,,,,,,,,
409,,1.0,,,,,,,,,
410,,1.0,,,,,,,,,
411,,1.0,,,,,,,,,
412,,1.0,,,,,,,,,
413,,1.0,,,,,,,,,
414,,1.0,,,,,,,,,
415,,1.0,,,,,,,,,
416,,1.0,,,,,,,,,
417,,1.0,,,,,,,,,
418,,,,,,,,,,,
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,,,,,,,,,,,
424,,,,,,,,,,,
425,,,,,,,,,,,
426,,,,,,,,,,,
427,,,,,,,,,,,
428,,,,,,,,,,,
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,,,,,,,,,,,
433,,,,,,,,,,,
434,,,,,,,,,,,
435,,,,,,,,,,,
436,,,,,,,,,,,
437,,,,,,,,,,,
438,,,1.0,,,,,,,,
439,,,1.0,,,,,,,,
440,,,1.0,,,,,,,,
441,,,1.0,,,,,,,,
442,,,1.0,,,,,,,,
443,,,1.0,,,,,,,,
444,,,1.0,,,,,,,,
445,,,1.0,,,,,,,,
446,,,1.0,,,,,,,,
447,,,1.0,,,,,,,,
448,,,1.0,,,,,,,,
449,,,,,,,,,,,
450,,,,,,,,,,,
451,,,,,,,,,,,
452,,,,,,,,,,,
453,,,,,,,,,,,
454,,,,,,,,,,,
455,,,,,,,,,,,
456,,,,,,,,,,,
457,,,,,,,,,,,
458,,,,,,,,,,,
459,,,,,,,,,,,
460,,,,,,,,,,,
461,,,,,,,,,,,
462,,,,,,,,,,,
463,,,,,,,,,,,
464,,,,,,,,,,,
465,,,,,,,,,,,
466,,,,,,,,,,,
467,,,,,,,,,,,
468,,,,,,,,,,,
469,,,,,,,,,,,
470,,,,,,,,,,,
471,,,,,,,,,,,
472,,,,,,,,,,,
473,,,,,,,,,,,
474,,,,,,,,,,,
475,,,,,,,,,,,
476,,,,,,,,,,,
477,,,,,,,,,,,
478,,,,,,,,,,,
479,,,,,,,,,,,
480,,,,,,,,,,,
481,,,,,,,,,,,
482,,,,,,,,,,,
483,,,,,,,,,,,
484,,,,,,,,,,,
485,,,,1.0,,,,,,,
486,,,,1.0,,,,,,,
487,,,,1.0,,,,,,,
488,,,,1.0,,,,,,,
489,,,,1.0,,,,,,,
490,,,,1.0,,,,,,,
491,,,,1.0,,,,,,,
492,,,,1.0,,,,,,,
493,,,,1.0,,,,,,,
494,,,,1.0,,,,,,,
495,,,,1.0,,,,,,,
496,,,,,,,,,,,
497,,,,,,,,,,,
498,,,,,,,,,,,
499,,,,,,,,,,,
500,,,,,,,,,,,
501,,,,,,,,,,,
502,,,,,,,,,,,
503,,,,,,,,,,,
504,,,,,,,,,,,
505,,,,,1.0,,,,,,
506,,,,,1.0,,,,,,
507,,,,,1.0,,,,,,
508,,,,,1.0,,,,,,
509,,,,,1.0,,,,,,
510,,,,,1.0,,,,,,
511,,,,,1.0,,,,,,
512,,,,,1.0,,,,,,
513,,,,,1.0,,,,,,
514,,,,,1.0,,,,,,
515,,,,,1.0,,,,,,
516,,,,,,,,,,,
517,,,,,,,,,,,
518,,,,,,,,,,,
519,,,,,,,,,,,
520,,,,,,,,,,,
521,,,,,,,,,,,
522,,,,,,,,,,,
523,,,,,,,,,,,
524,,,,,,,,,,,
525,,,,,,,,,,,
526,,,,,,,,,,,
527,,,,,,,,,,,
528,,,,,,,,,,,
529,,,,,,,,,,,
530,,,,,,,,,,,
531,,,,,,,,,,,
532,,,,,,,,,,,
533,,,,,,,,,,,
534,,,,,,,,,,,
535,,,,,,,,,,,
536,,,,,,,,,,,
537,,,,,,,,,,,
538,,,,,,,,,,,
539,,,,,,,,,,,
540,,,,,,,,,,,
541,,,,,,,,,,,
542,,,,,,,,,,,
543,,,,,,,,,,,
544,,,,,,,,,,,
545,,,,,,,,,,,
546,,,,,,,,,,,
547,,,,,,,,,,,
548,,,,,,,,,,,
549,,,,,,,,,,,
550,,,,,,,,,,,
551,,,,,,,,,,,
552,,,,,,,,,,,
553,,,,,,,,,,,
554,,,,,,,,,,,
555,,,,,,1.0,,,,,
556,,,,,,1.0,,,,,
557,,,,,,1.0,,,,,
558,,,,,,1.0,,,,,
559,,,,,,1.0,,,,,
560,,,,,,1.0,,,,,
561,,,,,,1.0,,,,,
562,,,,,,1.0,,,,,
563,,,,,,1.0,,,,,
564,,,,,,1.0,,,,,
565,,,,,,1.0,,,,,
566,,,,,,,,,,,
567,,,,,,,,,,,
568,,,,,,,,,,,
569,,,,,,,,,,,
570,,,,,,,,,,,
571,,,,,,,,,,,
572,,,,,,,,,,,
573,,,,,,,,,,,
574,,,,,,,,,,,
575,,,,,,,,,,,
576,,,,,,,,,,,
577,,,,,,,,,,,
578,,,,,,,,,,,
579,,,,,,,,,,,
580,,,,,,,,,,,
581,,,,,,,,,,,
582,,,,,,,,,,,
583,,,,,,,,,,,
584,,,,,,,,,,,
585,,,,,,,,,,,
586,,,,,,,,,,,
587,,,,,,,,,,,
588,,,,,,,,,,,
589,,,,,,,,,,,
590,,,,,,,,,,,
591,,,,,,,,,,,
592,,,,,,,,,,,
593,,,,,,,,,,,
594,,,,,,,,,,,
595,,,,,,,,,,,
596,,,,,,,,,,,
597,,,,,,,,,,,
598,,,,,,,,,,,
599,,,,,,,,,,,
600,,,,,,,,,,,
601,,,,,,,,,,,
602,,,,,,,,,,,
603,,,,,,,,,,,
604,,,,,,,,,,,
605,,,,,,,,,,,
606,,,,,,,,,,,
607,,,,,,,,,,,
608,,,,,,,,,,,
609,,,,,,,,,,,
610,,,,,,,,,,,
611,,,,,,,,,,,
612,,,,,,,,,,,
613,,,,,,,,,,,
614,,,,,,,,,,,
615,,,,,,,1.0,,,,
616,,,,,,,1.0,,,,
617,,,,,,,1.0,,,,
618,,,,,,,1.0,,,,
619,,,,,,,1.0,,,,
620,,,,,,,1.0,,,,
621,,,,,,,1.0,,,,
622,,,,,,,1.0,,,,
623,,,,,,,1.0,,,,
624,,,,,,,1.0,,,,
625,,,,,,,1.0,,,,
626,,,,,,,,,,,
627,,,,,,,,,,,
628,,,,,,,,,,,
629,,,,,,,,,,,
630,,,,,,,,,,,
631,,,,,,,,,,,
632,,,,,,,,,,,
633,,,,,,,,,,,
634,,,,,,,,,,,
635,,,,,,,,,,,
636,,,,,,,,,,,
637,,,,,,,,,,,
638,,,,,,,,,,,
639,,,,,,,,,,,
640,,,,,,,,,,,
641,,,,,,,,,,,
642,,,,,,,,,,,
643,,,,,,,,,,,
644,,,,,,,,,,,
645,,,,,,,,,,,
646,,,,,,,,,,,
647,,,,,,,,,,,
648,,,,,,,,,,,
649,,,,,,,,,,,
650,,,,,,,,,,,
651,,,,,,,,,,,
652,,,,,,,,,,,
653,,,,,,,,,,,
654,,,,,,,,,,,
655,,,,,,,,,,,
656,,,,,,,,,,,
657,,,,,,,,,,,
658,,,,,,,,,,,
659,,,,,,,,,,,
660,,,,,,,,,,,
661,,,,,,,,,,,
662,,,,,,,,1.0,,,
663,,,,,,,,1.0,,,
664,,,,,,,,1.0,,,
665,,,,,,,,1.0,,,
666,,,,,,,,1.0,,,
667,,,,,,,,1.0,,,
668,,,,,,,,1.0,,,
669,,,,,,,,1.0,,,
670,,,,,,,,1.0,,,
671,,,,,,,,1.0,,,
672,,,,,,,,1.0,,,
673,,,,,,,,,,,
674,,,,,,,,,,,
675,,,,,,,,,,,
676,,,,,,,,,,,
677,,,,,,,,,,,
678,,,,,,,,,,,
679,,,,,,,,,,,
680,,,,,,,,,,,
681,,,,,,,,,,,
682,,,,,,,,,,,
683,,,,,,,,,,,
684,,,,,,,,,,,
685,,,,,,,,,,,
686,,,,,,,,,,,
687,,,,,,,,,,,
688,,,,,,,,,,,
689,,,,,,,,,,,
690,,,,,,,,,,,
691,,,,,,,,,,,
692,,,,,,,,,,,
693,,,,,,,,,,,
694,,,,,,,,,,,
695,,,,,,,,,,,
696,,,,,,,,,,,
697,,,,,,,,,,,
698,,,,,,,,,,,
699,,,,,,,,,,,
700,,,,,,,,,,,
701,,,,,,,,,,,
702,,,,,,,,,,,
703,,,,,,,,,,,
704,,,,,,,,,,,
705,,,,,,,,,,,
706,,,,,,,,,,,
707,,,,,,,,,,,
708,,,,,,,,,,,
709,,,,,,,,,,,
710,,,,,,,,,,,
711,,,,,,,,,,,
712,,,,,,,,,,,
713,,,,,,,,,,,
714,,,,,,,,,,,
715,,,,,,,,,,,
716,,,,,,,,,,,
717,,,,,,,,,,,
718,,,,,,,,,,,
719,,,,,,,,,,,
720,,,,,,,,,,,
721,,,,,,,,,,,
722,,,,,,,,,,,
723,,,,,,,,,,,
724,,,,,,,,,,,
725,,,,,,,,,,,
726,,,,,,,,,,,
727,,,,,,,,,,,
728,,,,,,,,,,,
729,,,,,,,,,,,
730,,,,,,,,,,,
731,,,,,,,,,,,
732,,,,,,,,,,,
733,,,,,,,,,,,
734,,,,,,,,,,,
735,,,,,,,,,,,
736,,,,,,,,,,,
737,,,,,,,,,,,
738,,,,,,,,,,,
739,,,,,,,,,,,
740,,,,,,,,,,,
741,,,,,,,,,,,
742,,,,,,,,,,,
743,,,,,,,,,,,
744,,,,,,,,,,,
745,,,,,,,,,,,
746,,,,,,,,,,,
747,,,,,,,,,,,
748,,,,,,,,,,,
749,,,,,,,,,,,
750,,,,,,,,,,,
751,,,,,,,,,,,
752,,,,,,,,,,,
753,,,,,,,,,,,
754,,,,,,,,,,,
755,,,,,,,,,,,
756,,,,,,,,,,,
757,,,,,,,,,,,
758,,,,,,,,,,,
759,,,,,,,,,,,
760,,,,,,,,,,,
761,,,,,,,,,,,
762,,,,,,,,,,,
763,,,,,,,,,,,
764,,,,,,,,,,,
765,,,,,,,,,,,
766,,,,,,,,,,,
767,,,,,,,,,,,
768,,,,,,,,,,,
769,,,,,,,,,,,
770,,,,,,,,,,,
771,,,,,,,,,,,
772,,,,,,,,,,,
773,,,,,,,,,,,
774,,,,,,,,,1.0,,
775,,,,,,,,,1.0,,
776,,,,,,,,,1.0,,
777,,,,,,,,,1.0,,
778,,,,,,,,,1.0,,
779,,,,,,,,,1.0,,
780,,,,,,,,,1.0,,
781,,,,,,,,,1.0,,
782,,,,,,,,,1.0,,
783,,,,,,,,,1.0,,
784,,,,,,,,,1.0,,
785,,,,,,,,,,,
786,,,,,,,,,,,
787,,,,,,,,,,,
788,,,,,,,,,,,
789,,,,,,,,,,,
790,,,,,,,,,,,
791,,,,,,,,,,,
792,,,,,,,,,,,
793,,,,,,,,,,,
794,,,,,,,,,,,
795,,,,,,,,,,,
796,,,,,,,,,,,
797,,,,,,,,,,,
798,,,,,,,,,,,
799,,,,,,,,,,,
800,,,,,,,,,,,
801,,,,,,,,,,,
802,,,,,,,,,,,
803,,,,,,,,,,,
804,,,,,,,,,,,
805,,,,,,,,,,,
806,,,,,,,,,,,
807,,,,,,,,,,,
808,,,,,,,,,,,
809,,,,,,,,,,,
810,,,,,,,,,,,
811,,,,,,,,,,,
812,,,,,,,,,,,
813,,,,,,,,,,,
814,,,,,,,,,,,
815,,,,,,,,,,,
816,,,,,,,,,,,
817,,,,,,,,,,,
818,,,,,,,,,,,
819,,,,,,,,,,,
820,,,,,,,,,,,
821,,,,,,,,,,,
822,,,,,,,,,,,
823,,,,,,,,,,,
824,,,,,,,,,,,
825,,,,,,,,,,,
826,,,,,,,,,,,
827,,,,,,,,,,,
828,,,,,,,,,,,
829,,,,,,,,,,,
830,,,,,,,,,,,
831,,,,,,,,,,,
832,,,,,,,,,,,
833,,,,,,,,,,,
834,,,,,,,,,,,
835,,,,,,,,,,,
836,,,,,,,,,,,
837,,,,,,,,,,,
838,,,,,,,,,,,
839,,,,,,,,,,,
840,,,,,,,,,,,
841,,,,,,,,,,,
842,,,,,,,,,,,
843,,,,,,,,,,,
844,,,,,,,,,,,
845,,,,,,,,,,,
846,,,,,,,,,,,
847,,,,,,,,,,,
848,,,,,,,,,,,
849,,,,,,,,,,,
850,,,,,,,,,,,
851,,,,,,,,,,,
852,,,,,,,,,,,
853,,,,,,,,,,,
854,,,,,,,,,,,
855,,,,,,,,,,,
856,,,,,,,,,,,
857,,,,,,,,,,,
858,,,,,,,,,,,
859,,,,,,,,,,,
860,,,,,,,,,,1.0,
861,,,,,,,,,,1.0,
862,,,,,,,,,,1.0,
863,,,,,,,,,,1.0,
864,,,,,,,,,,1.0,
865,,,,,,,,,,1.0,
866,,,,,,,,,,1.0,
867,,,,,,,,,,1.0,
868,,,,,,,,,,1.0,
869,,,,,,,,,,1.0,
870,,,,,,,,,,1.0,
871,,,,,,,,,,,
872,,,,,,,,,,,
873,,,,,,,,,,,
874,,,,,,,,,,,
875,,,,,,,,,,,
876,,,,,,,,,,,
877,,,,,,,,,,,
878,,,,,,,,,,,
879,,,,,,,,,,,
880,,,,,,,,,,,
881,,,,,,,,,,,
882,,,,,,,,,,,
883,,,,,,,,,,,
884,,,,,,,,,,,
885,,,,,,,,,,,
886,,,,,,,,,,,
887,,,,,,,,,,,
888,,,,,,,,,,,
889,,,,,,,,,,,
890,,,,,,,,,,,
891,,,,,,,,,,,
892,,,,,,,,,,,
893,,,,,,,,,,,
894,,,,,,,,,,,
895,,,,,,,,,,,
896,,,,,,,,,,,
897,,,,,,,,,,,
898,,,,,,,,,,,
899,,,,,,,,,,,
900,,,,,,,,,,,
901,,,,,,,,,,,
902,,,,,,,,,,,
903,,,,,,,,,,,
904,,,,,,,,,,,
905,,,,,,,,,,,
906,,,,,,,,,,,
907,,,,,,,,,,,
908,,,,,,,,,,,
909,,,,,,,,,,,
910,,,,,,,,,,,
911,,,,,,,,,,,
912,,,,,,,,,,,
913,,,,,,,,,,,
914,,,,,,,,,,,
915,,,,,,,,,,,
916,,,,,,,,,,,
917,,,,,,,,,,,
918,,,,,,,,,,,
919,,,,,,,,,,,
920,,,,,,,,,,,
921,,,,,,,,,,,
922,,,,,,,,,,,
923,,,,,,,,,,,
924,,,,,,,,,,,
925,,,,,,,,,,,
926,,,,,,,,,,,
927,,,,,,,,,,,
928,,,,,,,,,,,
929,,,,,,,,,,,
930,,,,,,,,,,,
931,,,,,,,,,,,
932,,,,,,,,,,,
933,,,,,,,,,,,
934,,,,,,,,,,,
935,,,,,,,,,,,
936,,,,,,,,,,,
937,,,,,,,,,,,
938,,,,,,,,,,,
939,,,,,,,,,,,
940,,,,,,,,,,,
941,,,,,,,,,,,
942,,,,,,,,,,,
943,,,,,,,,,,,
944,,,,,,,,,,,
945,,,,,,,,,,,
946,,,,,,,,,,,
947,,,,,,,,,,,
948,,,,,,,,,,,
949,,,,,,,,,,,
950,,,,,,,,,,,
951,,,,,,,,,,,
952,,,,,,,,,,,
953,,,,,,,,,,,
954,,,,,,,,,,,
955,,,,,,,,,,,
956,,,,,,,,,,,
957,,,,,,,,,,,
958,,,,,,,,,,,
959,,,,,,,,,,,
960,,,,,,,,,,,
961,,,,,,,,,,,
962,,,,,,,,,,,
963,,,,,,,,,,,
964,,,,,,,,,,,
965,,,,,,,,,,,
966,,,,,,,,,,,
967,,,,,,,,,,,
968,,,,,,,,,,,
969,,,,,,,,,,,
970,,,,,,,,,,,
971,,,,,,,,,,,
972,,,,,,,,,,,
973,,,,,,,,,,,
974,,,,,,,,,,,
975,,,,,,,,,,,
976,,,,,,,,,,,
977,,,,,,,,,,,
978,,,,,,,,,,,
979,,,,,,,,,,,
980,,,,,,,,,,,
981,,,,,,,,,,,
982,,,,,,,,,,,
983,,,,,,,,,,,
984,,,,,,,,,,,
985,,,,,,,,,,,
986,,,,,,,,,,,
987,,,,,,,,,,,
988,,,,,,,,,,,
989,,,,,,,,,,,
990,,,,,,,,,,,
991,,,,,,,,,,,
992,,,,,,,,,,,
993,,,,,,,,,,,
994,,,,,,,,,,,
995,,,,,,,,,,,
996,,,,,,,,,,,
997,,,,,,,,,,,
998,,,,,,,,,,,
999,,,,,,,,,,,
1000,,,,,,,,,,,
1001,,,,,,,,,,,
1002,,,,,,,,,,,
1003,,,,,,,,,,,
1004,,,,,,,,,,,
1005,,,,,,,,,,,
1006,,,,,,,,,,,
1007,,,,,,,,,,,
1008,,,,,,,,,,,
1009,,,,,,,,,,,
1010,,,,,,,,,,,
1011,,,,,,,,,,,
1012,,,,,,,,,,,
1013,,,,,,,,,,,
1014,,,,,,,,,,,
1015,,,,,,,,,,,1.0
1016,,,,,,,,,,,1.0
1017,,,,,,,,,,,1.0
1018,,,,,,,,,,,1.0
1019,,,,,,,,,,,1.0
1020,,,,,,,,,,,1.0
1021,,,,,,,,,,,1.0
1022,,,,,,,,,,,1.0
1023,,,,,,,,,,,1.0
1024,,,,,,,,,,,1.0
1025,,,,,,,,,,,1.0
