wavelength,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_560,RSR_Rrs_665,RSR_Rrs_705,RSR_Rrs_740,RSR_Rrs_783,RSR_Rrs_842,RSR_Rrs_865
300,,,,,,,,,
301,,,,,,,,,
302,,,,,,,,,
303,,,,,,,,,
304,,,,,,,,,
305,,,,,,,,,
306,,,,,,,,,
307,,,,,,,,,
308,,,,,,,,,
309,,,,,,,,,
310,,,,,,,,,
311,,,,,,,,,
312,,,,,,,,,
313,,,,,,,,,
314,,,,,,,,,
315,,,,,,,,,
316,,,,,,,,,
317,,,,,,,,,
318,,,,,,,,,
319,,,,,,,,,
320,,,,,,,,,
321,,,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
324,,,,,,,,,
325,,,,,,,,,
326,,,,,,,,,
327,,,,,,,,,
328,,,,,,,,,
329,,,,,,,,,
330,,,,,,,,,
331,,,,,,,,,
332,,,,,,,,,
333,,,,,,,,,
334,,,,,,,,,
335,,,,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,,,,,,,,,
339,,,,,,,,,
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
343,,,,,,,,,
344,,,,,,,,,
345,,,,,,,,,
346,,,,,,,,,
347,,,,,,,,,
348,,,,,,,,,
349,,,,,,,,,
350,,,,,,,,,
351,,,,,,,,,
352,,,,,,,,,
353,,,,,,,,,
354,,,,,,,,,
355,,,,,,,,,
356,,,,,,,,,
357,,,,,,,,,
358,,,,,,,,,
359,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
365,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
369,,,,,,,,,
370,,,,,,,,,
371,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,,,,,,,,,
375,,,,,,,,,
376,,,,,,,,,
377,,,,,,,,,
378,,,,,,,,,
379,,,,,,,,,
380,,,,,,,,,
381,,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
391,,,,,,,,,
392,,,,,,,,,
393,,,,,,,,,
394,,,,,,,,,
395,,,,,,,,,
396,,,,,,,,,
397,,,,,,,,,
398,,,,,,,,,
399,,,,,,,,,
400,,,,,,,,,
401,,,,,,,,,
402,,,,,,,,,
403,,,,,,,,,
404,,,,,,,,,
405,,,,,,,,,
406,,,,,,,,,
407,,,,,,,,,
408,,,,,,,,,
409,,,,,,,,,
410,,,,,,,,,
411,,,,,,,,,
412,0.001775742,,,,,,,,
413,0.004073061,,,,,,,,
414,0.003626143,,,,,,,,
415,0.003515199,,,,,,,,
416,0.005729163,,,,,,,,
417,0.003780292,,,,,,,,
418,0.002636732,,,,,,,,
419,0.001262113,,,,,,,,
420,0.001987583,,,,,,,,
421,0.001368913,,,,,,,,
422,0.001250444,,,,,,,,
423,0.000463454,,,,,,,,
424,0.000814293,,,,,,,,
425,0.001376431,,,,,,,,
426,0.001485086,,,,,,,,
427,0.001823735,,,,,,,,
428,0.001626817,,,,,,,,
429,0.004392062,,,,,,,,
430,0.029008099,,,,,,,,
431,0.118745933,,,,,,,,
432,0.323875058,,,,,,,,
433,0.572819207,,,,,,,,
434,0.714727494,,,,,,,,
435,0.761967778,,,,,,,,
436,0.789297016,,,,,,,,
437,0.808623866,,,,,,,,
438,0.810893815,,,,,,,,
439,0.824198756,0.010315429,,,,,,,
440,0.854158107,0.030041933,,,,,,,
441,0.870790877,0.026875891,,,,,,,
442,0.887310969,0.02414315,,,,,,,
443,0.926199242,0.020210064,,,,,,,
444,0.982281495,0.022693489,,,,,,,
445,1,0.024564087,,,,,,,
446,0.975238202,0.016667005,,,,,,,
447,0.93596338,0.021413132,,,,,,,
448,0.889971481,0.016144221,,,,,,,
449,0.850210477,0.021307208,,,,,,,
450,0.825694526,0.018466093,,,,,,,
451,0.783902388,0.018185017,,,,,,,
452,0.614174215,0.017679055,,,,,,,
453,0.330071087,0.019114826,,,,,,,
454,0.124108313,0.019246427,,,,,,,
455,0.04365694,0.027395745,,,,,,,
456,0.014749595,0.042555308,,,,,,,
457,,0.072298295,,,,,,,
458,,0.153743222,,,,,,,
459,,0.32799225,,,,,,,
460,,0.553367878,,,,,,,
461,,0.710111663,,,,,,,
462,,0.752851788,,,,,,,
463,,0.75232691,,,,,,,
464,,0.756680807,,,,,,,
465,,0.763269482,,,,,,,
466,,0.76239425,,,,,,,
467,,0.785251503,,,,,,,
468,,0.815466688,,,,,,,
469,,0.861791756,,,,,,,
470,,0.892825992,,,,,,,
471,,0.919522103,,,,,,,
472,,0.919006495,,,,,,,
473,,0.913157536,,,,,,,
474,,0.900353663,,,,,,,
475,,0.889896935,,,,,,,
476,,0.882324603,,,,,,,
477,,0.876061177,,,,,,,
478,,0.884299872,,,,,,,
479,,0.906955442,,,,,,,
480,,0.932320853,,,,,,,
481,,0.939472521,,,,,,,
482,,0.943835429,,,,,,,
483,,0.922040861,,,,,,,
484,,0.886023105,,,,,,,
485,,0.847436088,,,,,,,
486,,0.812516871,,,,,,,
487,,0.782397097,,,,,,,
488,,0.7731087,,,,,,,
489,,0.772090538,,,,,,,
490,,0.787426523,,,,,,,
491,,0.812171771,,,,,,,
492,,0.846050519,,,,,,,
493,,0.887679959,,,,,,,
494,,0.927939973,,,,,,,
495,,0.950692347,,,,,,,
496,,0.965733107,,,,,,,
497,,0.969382533,,,,,,,
498,,0.965702943,,,,,,,
499,,0.95832003,,,,,,,
500,,0.954050638,,,,,,,
501,,0.951782684,,,,,,,
502,,0.956997215,,,,,,,
503,,0.965565145,,,,,,,
504,,0.977051397,,,,,,,
505,,0.977095739,,,,,,,
506,,0.974366055,,,,,,,
507,,0.959031834,,,,,,,
508,,0.935063176,,,,,,,
509,,0.90190134,,,,,,,
510,,0.871657924,,,,,,,
511,,0.844024435,,,,,,,
512,,0.822808519,,,,,,,
513,,0.815360426,,,,,,,
514,,0.820576391,,,,,,,
515,,0.839514898,,,,,,,
516,,0.86992171,,,,,,,
517,,0.915262055,,,,,,,
518,,0.960670278,,,,,,,
519,,0.991636995,,,,,,,
520,,1,,,,,,,
521,,0.98356097,,,,,,,
522,,0.91130763,,,,,,,
523,,0.740182556,,,,,,,
524,,0.503958576,,,,,,,
525,,0.305015502,,,,,,,
526,,0.180046045,,,,,,,
527,,0.107383424,,,,,,,
528,,0.06593592,,,,,,,
529,,0.042077455,,,,,,,
530,,0.026621288,,,,,,,
531,,0.0143396,,,,,,,
532,,0.002657787,,,,,,,
533,,0.000818224,,,,,,,
534,,,,,,,,,
535,,,,,,,,,
536,,,,,,,,,
537,,,,,,,,,
538,,,0.014481812,,,,,,
539,,,0.034222507,,,,,,
540,,,0.073463348,,,,,,
541,,,0.154448431,,,,,,
542,,,0.316614247,,,,,,
543,,,0.553222787,,,,,,
544,,,0.748594059,,,,,,
545,,,0.848903056,,,,,,
546,,,0.897722157,,,,,,
547,,,0.921536798,,,,,,
548,,,0.925728454,,,,,,
549,,,0.911226879,,,,,,
550,,,0.888189237,,,,,,
551,,,0.865237556,,,,,,
552,,,0.84718187,,,,,,
553,,,0.838757201,,,,,,
554,,,0.844590812,,,,,,
555,,,0.862196533,,,,,,
556,,,0.888387136,,,,,,
557,,,0.924432355,,,,,,
558,,,0.96017974,,,,,,
559,,,0.986855165,,,,,,
560,,,1,,,,,,
561,,,0.998600802,,,,,,
562,,,0.980764717,,,,,,
563,,,0.945220892,,,,,,
564,,,0.898177804,,,,,,
565,,,0.855803233,,,,,,
566,,,0.818417342,,,,,,
567,,,0.788620476,,,,,,
568,,,0.764606533,,,,,,
569,,,0.749637446,,,,,,
570,,,0.75055111,,,,,,
571,,,0.761378883,,,,,,
572,,,0.782444788,,,,,,
573,,,0.798900864,,,,,,
574,,,0.810169565,,,,,,
575,,,0.814088864,,,,,,
576,,,0.773585961,,,,,,
577,,,0.628810649,,,,,,
578,,,0.403975549,,,,,,
579,,,0.215420982,,,,,,
580,,,0.107152815,,,,,,
581,,,0.047928768,,,,,,
582,,,0.01848693,,,,,,
583,,,0.001085875,,,,,,
584,,,,,,,,,
585,,,,,,,,,
586,,,,,,,,,
587,,,,,,,,,
588,,,,,,,,,
589,,,,,,,,,
590,,,,,,,,,
591,,,,,,,,,
592,,,,,,,,,
593,,,,,,,,,
594,,,,,,,,,
595,,,,,,,,,
596,,,,,,,,,
597,,,,,,,,,
598,,,,,,,,,
599,,,,,,,,,
600,,,,,,,,,
601,,,,,,,,,
602,,,,,,,,,
603,,,,,,,,,
604,,,,,,,,,
605,,,,,,,,,
606,,,,,,,,,
607,,,,,,,,,
608,,,,,,,,,
609,,,,,,,,,
610,,,,,,,,,
611,,,,,,,,,
612,,,,,,,,,
613,,,,,,,,,
614,,,,,,,,,
615,,,,,,,,,
616,,,,,,,,,
617,,,,,,,,,
618,,,,,,,,,
619,,,,,,,,,
620,,,,,,,,,
621,,,,,,,,,
622,,,,,,,,,
623,,,,,,,,,
624,,,,,,,,,
625,,,,,,,,,
626,,,,,,,,,
627,,,,,,,,,
628,,,,,,,,,
629,,,,,,,,,
630,,,,,,,,,
631,,,,,,,,,
632,,,,,,,,,
633,,,,,,,,,
634,,,,,,,,,
635,,,,,,,,,
636,,,,,,,,,
637,,,,,,,,,
638,,,,,,,,,
639,,,,,,,,,
640,,,,,,,,,
641,,,,,,,,,
642,,,,,,,,,
643,,,,,,,,,
644,,,,,,,,,
645,,,,,,,,,
646,,,,0.001415212,,,,,
647,,,,0.025902381,,,,,
648,,,,0.116511775,,,,,
649,,,,0.390886162,,,,,
650,,,,0.749593421,,,,,
651,,,,0.944858051,,,,,
652,,,,0.980111731,,,,,
653,,,,0.994063086,,,,,
654,,,,1,,,,,
655,,,,0.995454747,,,,,
656,,,,0.990527717,,,,,
657,,,,0.977334762,,,,,
658,,,,0.940559882,,,,,
659,,,,0.878949559,,,,,
660,,,,0.81629384,,,,,
661,,,,0.773459516,,,,,
662,,,,0.754487656,,,,,
663,,,,0.75991531,,,,,
664,,,,0.782634297,,,,,
665,,,,0.8101689,,,,,
666,,,,0.836129749,,,,,
667,,,,0.861254237,,,,,
668,,,,0.886091059,,,,,
669,,,,0.911387666,,,,,
670,,,,0.934051464,,,,,
671,,,,0.950420633,,,,,
672,,,,0.959257302,,,,,
673,,,,0.960395551,,,,,
674,,,,0.959133945,,,,,
675,,,,0.958090128,,,,,
676,,,,0.955274589,,,,,
677,,,,0.943764654,,,,,
678,,,,0.894907986,,,,,
679,,,,0.744263079,,,,,
680,,,,0.476777001,,,,,
681,,,,0.229603988,,,,,
682,,,,0.080091177,,,,,
683,,,,0.026170762,,,,,
684,,,,0.004152419,,,,,
685,,,,,,,,,
686,,,,,,,,,
687,,,,,,,,,
688,,,,,,,,,
689,,,,,,,,,
690,,,,,,,,,
691,,,,,,,,,
692,,,,,,,,,
693,,,,,,,,,
694,,,,,,,,,
695,,,,,0.028357856,,,,
696,,,,,0.123693367,,,,
697,,,,,0.393787739,,,,
698,,,,,0.761130707,,,,
699,,,,,0.971085018,,,,
700,,,,,0.998895232,,,,
701,,,,,1,,,,
702,,,,,0.994122578,,,,
703,,,,,0.983217889,,,,
704,,,,,0.967040926,,,,
705,,,,,0.948473886,,,,
706,,,,,0.92714833,,,,
707,,,,,0.903724584,,,,
708,,,,,0.886147127,,,,
709,,,,,0.867237453,,,,
710,,,,,0.790753191,,,,
711,,,,,0.588403315,,,,
712,,,,,0.263348326,,,,
713,,,,,0.056754223,,,,
714,,,,,0.006188334,,,,
715,,,,,,,,,
716,,,,,,,,,
717,,,,,,,,,
718,,,,,,,,,
719,,,,,,,,,
720,,,,,,,,,
721,,,,,,,,,
722,,,,,,,,,
723,,,,,,,,,
724,,,,,,,,,
725,,,,,,,,,
726,,,,,,,,,
727,,,,,,,,,
728,,,,,,,,,
729,,,,,,,,,
730,,,,,,,,,
731,,,,,,0.001710882,,,
732,,,,,,0.054671525,,,
733,,,,,,0.258066763,,,
734,,,,,,0.647220984,,,
735,,,,,,0.892189986,,,
736,,,,,,0.902328766,,,
737,,,,,,0.915087676,,,
738,,,,,,0.941158459,,,
739,,,,,,0.962999932,,,
740,,,,,,0.975104812,,,
741,,,,,,0.977021704,,,
742,,,,,,0.987362514,,,
743,,,,,,1,,,
744,,,,,,0.988802771,,,
745,,,,,,0.971799161,,,
746,,,,,,0.901267389,,,
747,,,,,,0.606723913,,,
748,,,,,,0.205202268,,,
749,,,,,,0.026756898,,,
750,,,,,,,,,
751,,,,,,,,,
752,,,,,,,,,
753,,,,,,,,,
754,,,,,,,,,
755,,,,,,,,,
756,,,,,,,,,
757,,,,,,,,,
758,,,,,,,,,
759,,,,,,,,,
760,,,,,,,,0.000672587,
761,,,,,,,,0.003888561,
762,,,,,,,,0,
763,,,,,,,,0,
764,,,,,,,,0,
765,,,,,,,,0,
766,,,,,,,,0,
767,,,,,,,,0,
768,,,,,,,,0,
769,,,,,,,0.000458987,0,
770,,,,,,,0.011720097,0,
771,,,,,,,0.052197152,0,
772,,,,,,,0.165617326,0,
773,,,,,,,0.369033555,0.000289559,
774,,,,,,,0.636854532,0.00702964,
775,,,,,,,0.861196383,0.017523915,
776,,,,,,,0.970028971,0.032311111,
777,,,,,,,0.991196015,0.05328661,
778,,,,,,,0.998979212,0.082998852,
779,,,,,,,1,0.127485024,
780,,,,,,,0.97725155,0.195910652,
781,,,,,,,0.925723851,0.302463232,
782,,,,,,,0.86605804,0.435539537,
783,,,,,,,0.819696105,0.571416366,
784,,,,,,,0.794076736,0.697667008,
785,,,,,,,0.791110289,0.803038519,
786,,,,,,,0.804315523,0.891157437,
787,,,,,,,0.819027212,0.952845837,
788,,,,,,,0.825712924,0.988941605,
789,,,,,,,0.820118286,1,
790,,,,,,,0.792221951,0.988406528,
791,,,,,,,0.720545593,0.963892161,
792,,,,,,,0.587677944,0.942079674,
793,,,,,,,0.414303554,0.936946427,
794,,,,,,,0.230888169,0.942273429,
795,,,,,,,0.098502825,0.953957178,
796,,,,,,,0.027365511,0.968288956,
797,,,,,,,0.00516235,0.979665494,
798,,,,,,,,0.985444404,
799,,,,,,,,0.985926806,
800,,,,,,,,0.983911811,
801,,,,,,,,0.97793903,
802,,,,,,,,0.977227714,
803,,,,,,,,0.978106086,
804,,,,,,,,0.981444864,
805,,,,,,,,0.987645575,
806,,,,,,,,0.988577078,
807,,,,,,,,0.986242198,
808,,,,,,,,0.980709208,
809,,,,,,,,0.970786244,
810,,,,,,,,0.957210894,
811,,,,,,,,0.938658206,
812,,,,,,,,0.91672388,
813,,,,,,,,0.896207585,
814,,,,,,,,0.872887998,
815,,,,,,,,0.851603307,
816,,,,,,,,0.824639396,
817,,,,,,,,0.800781174,
818,,,,,,,,0.782338598,
819,,,,,,,,0.763602744,
820,,,,,,,,0.749627707,
821,,,,,,,,0.738722099,
822,,,,,,,,0.730794069,
823,,,,,,,,0.722712368,
824,,,,,,,,0.725077084,
825,,,,,,,,0.725638556,
826,,,,,,,,0.723042174,
827,,,,,,,,0.722292106,
828,,,,,,,,0.716163645,
829,,,,,,,,0.711594459,
830,,,,,,,,0.708269542,
831,,,,,,,,0.701572051,
832,,,,,,,,0.699245321,
833,,,,,,,,0.700937618,
834,,,,,,,,0.706927327,
835,,,,,,,,0.718240007,
836,,,,,,,,0.731246343,
837,,,,,,,,0.748406102,0.000300966
838,,,,,,,,0.76818541,0
839,,,,,,,,0.783948066,0
840,,,,,,,,0.7968381,0
841,,,,,,,,0.802602063,0
842,,,,,,,,0.804519396,0
843,,,,,,,,0.802409182,0
844,,,,,,,,0.796990717,0
845,,,,,,,,0.789203043,0
846,,,,,,,,0.776916211,0
847,,,,,,,,0.765184064,0.001572174
848,,,,,,,,0.751197174,0.002498858
849,,,,,,,,0.737003566,0.013320367
850,,,,,,,,0.722623995,0.026148658
851,,,,,,,,0.704125782,0.052604793
852,,,,,,,,0.684108046,0.107797093
853,,,,,,,,0.664745277,0.221607547
854,,,,,,,,0.647368908,0.39721628
855,,,,,,,,0.630051247,0.609868852
856,,,,,,,,0.615642224,0.816588834
857,,,,,,,,0.602495567,0.932244502
858,,,,,,,,0.589889921,0.972100329
859,,,,,,,,0.579933995,0.975454822
860,,,,,,,,0.571365058,0.975380485
861,,,,,,,,0.560942415,0.97328205
862,,,,,,,,0.552351052,0.976078281
863,,,,,,,,0.54568236,0.980349546
864,,,,,,,,0.539580517,0.986909276
865,,,,,,,,0.535102151,0.990874648
866,,,,,,,,0.530936751,0.997418177
867,,,,,,,,0.530165085,0.999846733
868,,,,,,,,0.52984662,0.999391415
869,,,,,,,,0.530366818,0.995879284
870,,,,,,,,0.532114628,0.995412276
871,,,,,,,,0.53271918,1
872,,,,,,,,0.532468057,0.996407621
873,,,,,,,,0.53331158,0.923594329
874,,,,,,,,0.531927797,0.741376842
875,,,,,,,,0.530510552,0.489659709
876,,,,,,,,0.52951499,0.25020643
877,,,,,,,,0.52996848,0.112212459
878,,,,,,,,0.532533725,0.047559844
879,,,,,,,,0.537050849,0.022978146
880,,,,,,,,0.542353442,0.010614375
