wavelength,RSR_Rrs_443,RSR_Rrs_482,RSR_Rrs_561,RSR_Rrs_655,RSR_Rrs_865
427,0.000073,,,,
428,0.000609,,,,
429,0.001628,,,,
430,0.003421,,,,
431,0.008019,,,,
432,0.024767,,,,
433,0.085688,,,,
434,0.254149,,,,
435,0.517821,,,,
436,0.765117,0.00001,,,
437,0.908749,0.000061,,,
438,0.958204,0.000117,,,
439,0.977393,0.000241,,,
440,0.98379,0.000349,,,
441,0.989052,0.000455,,,
442,0.986713,0.000756,,,
443,0.993683,0.001197,,,
444,0.993137,0.00207,,,
445,1,0.003712,,,
446,0.996969,0.006869,,,
447,0.98278,0.013212,,,
448,0.972692,0.02717,,,
449,0.905808,0.058606,,,
450,0.745606,0.130876,,,
451,0.471329,0.27137,,,
452,0.226412,0.493542,,,
453,0.09286,0.723971,,,
454,0.036603,0.85751,,,
455,0.014537,0.894222,,,
456,0.005829,0.903034,,,
457,0.002414,0.910928,,,
458,0.000984,0.90988,,,
459,0.000255,0.899475,,,
460,,0.897977,,,
461,,0.889667,,,
462,,0.883542,,,
463,,0.877453,,,
464,,0.881011,,,
465,,0.874721,,,
466,,0.879688,,,
467,,0.886569,,,
468,,0.891913,,,
469,,0.88768,,,
470,,0.861157,,,
471,,0.848533,,,
472,,0.840828,,,
473,,0.828339,,,
474,,0.844202,,,
475,,0.865864,,,
476,,0.868497,,,
477,,0.890253,,,
478,,0.912538,,,
479,,0.910385,,,
480,,0.918822,,,
481,,0.931726,,,
482,,0.931813,,,
483,,0.954248,,,
484,,0.955545,,,
485,,0.96242,,,
486,,0.956424,,,
487,,0.953352,,,
488,,0.978564,,,
489,,0.989104,,,
490,,0.985615,,,
491,,0.989469,,,
492,,0.982262,,,
493,,0.968801,,,
494,,0.967332,,,
495,,0.976836,,,
496,,0.988729,,,
497,,0.980826,,,
498,,0.967361,,,
499,,0.954754,,,
500,,0.964132,,,
501,,0.966125,,,
502,,0.966772,,,
503,,0.981834,,,
504,,0.98232,,,
505,,0.965685,,,
506,,0.963135,,,
507,,0.972261,,,
508,,0.996498,,,
509,,1,,,
510,,0.9556,,,
511,,0.844893,,,
512,,0.534592,-0.000046,,
513,,0.190738,0.000016,,
514,,0.048329,0.00011,,
515,,0.013894,0.000247,,
516,,0.005328,0.000362,,
517,,0.002611,0.000648,,
518,,0.001557,0.000935,,
519,,0.0011,0.001332,,
520,,0.000785,0.001816,,
521,,0.000516,0.002515,,
522,,0.000321,0.003446,,
523,,0.000162,0.00488,,
524,,0.000072,0.007024,,
525,,0.000057,0.010441,,
526,,0.000023,0.016247,,
527,,0.000032,0.025513,,
528,,-0.000016,0.041451,,
529,,,0.070551,,
530,,,0.123444,,
531,,,0.21168,,
532,,,0.353885,,
533,,,0.545856,,
534,,,0.741205,,
535,,,0.865225,,
536,,,0.927396,,
537,,,0.954627,,
538,,,0.954163,,
539,,,0.959215,,
540,,,0.961328,,
541,,,0.964902,,
542,,,0.969873,,
543,,,0.952489,,
544,,,0.961397,,
545,,,0.97827,,
546,,,0.977533,,
547,,,0.977001,,
548,,,0.980884,,
549,,,0.990784,,
550,,,1,,
551,,,0.992264,,
552,,,0.982642,,
553,,,0.983832,,
554,,,0.977765,,
555,,,0.965081,,
556,,,0.957314,,
557,,,0.946245,,
558,,,0.947871,,
559,,,0.959038,,
560,,,0.966534,,
561,,,0.977656,,
562,,,0.966447,,
563,,,0.953399,,
564,,,0.958314,,
565,,,0.970039,,
566,,,0.978607,,
567,,,0.983397,,
568,,,0.98096,,
569,,,0.974522,,
570,,,0.967229,,
571,,,0.979406,,
572,,,0.978208,,
573,,,0.975818,,
574,,,0.974392,,
575,,,0.979973,,
576,,,0.968827,,
577,,,0.969181,,
578,,,0.967838,,
579,,,0.982956,,
580,,,0.979598,,
581,,,0.963811,,
582,,,0.968886,,
583,,,0.983655,,
584,,,0.986657,,
585,,,0.974207,,
586,,,0.946407,,
587,,,0.904478,,
588,,,0.809275,,
589,,,0.684974,,
590,,,0.525304,,
591,,,0.345364,,
592,,,0.190467,,
593,,,0.087833,,
594,,,0.035393,,
595,,,0.014077,,
596,,,0.005944,,
597,,,0.002574,,
598,,,0.001046,,
599,,,0.000394,,
600,,,0.000085,,
601,,,-0.000084,,
602,,,-0.000194,,
603,,,-0.000234,,
604,,,-0.000292,,
605,,,-0.000307,,
606,,,-0.000343,,
607,,,-0.000348,,
608,,,-0.000329,,
609,,,-0.000351,,
610,,,-0.000317,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,,,,,
623,,,,,
624,,,,,
625,,,,-0.000342,
626,,,,0.00027,
627,,,,0.000895,
628,,,,0.00185,
629,,,,0.003648,
630,,,,0.007197,
631,,,,0.014515,
632,,,,0.030432,
633,,,,0.066861,
634,,,,0.148518,
635,,,,0.299778,
636,,,,0.526812,
637,,,,0.764443,
638,,,,0.905473,
639,,,,0.947949,
640,,,,0.950823,
641,,,,0.947418,
642,,,,0.951831,
643,,,,0.962705,
644,,,,0.975075,
645,,,,0.984173,
646,,,,0.983613,
647,,,,0.983434,
648,,,,0.982911,
649,,,,0.973636,
650,,,,0.959441,
651,,,,0.955641,
652,,,,0.955548,
653,,,,0.953337,
654,,,,0.956628,
655,,,,0.981688,
656,,,,1,
657,,,,0.992388,
658,,,,0.984615,
659,,,,0.981568,
660,,,,0.97696,
661,,,,0.97298,
662,,,,0.98108,
663,,,,0.996804,
664,,,,0.992142,
665,,,,0.980678,
666,,,,0.964002,
667,,,,0.962154,
668,,,,0.970778,
669,,,,0.96718,
670,,,,0.966928,
671,,,,0.949928,
672,,,,0.848855,
673,,,,0.609359,
674,,,,0.31635,
675,,,,0.123946,
676,,,,0.046033,
677,,,,0.017702,
678,,,,0.007333,
679,,,,0.003205,
680,,,,0.001402,
681,,,,0.000554,
682,,,,0.000117,
683,,,,-0.000122,
684,,,,-0.000289,
685,,,,-0.000376,
686,,,,-0.000396,
687,,,,-0.000458,
688,,,,-0.000488,
689,,,,-0.000457,
690,,,,-0.000429,
691,,,,-0.000417,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,,,,,
702,,,,,
703,,,,,
704,,,,,
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,,,,,
723,,,,,
724,,,,,
725,,,,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,-0.000034
830,,,,,0.000011
831,,,,,0.00005
832,,,,,0.0001
833,,,,,0.000239
834,,,,,0.000314
835,,,,,0.000495
836,,,,,0.000719
837,,,,,0.000986
838,,,,,0.001445
839,,,,,0.002107
840,,,,,0.00316
841,,,,,0.004744
842,,,,,0.007059
843,,,,,0.0109
844,,,,,0.017346
845,,,,,0.028332
846,,,,,0.048191
847,,,,,0.084363
848,,,,,0.145365
849,,,,,0.249733
850,,,,,0.403526
851,,,,,0.582623
852,,,,,0.745037
853,,,,,0.890315
854,,,,,0.960215
855,,,,,0.986833
856,,,,,0.973133
857,,,,,0.980606
858,,,,,0.99612
859,,,,,1
860,,,,,0.989777
861,,,,,0.980733
862,,,,,0.975935
863,,,,,0.972043
864,,,,,0.957357
865,,,,,0.951209
866,,,,,0.947044
867,,,,,0.953162
868,,,,,0.951499
869,,,,,0.94845
870,,,,,0.940094
871,,,,,0.950632
872,,,,,0.956079
873,,,,,0.96646
874,,,,,0.969821
875,,,,,0.93661
876,,,,,0.891066
877,,,,,0.788733
878,,,,,0.63532
879,,,,,0.448364
880,,,,,0.288847
881,,,,,0.174619
882,,,,,0.100343
883,,,,,0.058265
884,,,,,0.034532
885,,,,,0.02072
886,,,,,0.01244
887,,,,,0.007601
888,,,,,0.004702
889,,,,,0.002944
890,,,,,0.00187
891,,,,,0.001192
892,,,,,0.000743
893,,,,,0.000423
894,,,,,0.000241
895,,,,,0.000116
896,,,,,0.000044
897,,,,,-0.000013
898,,,,,-0.00005
899,,,,,-0.000084
900,,,,,-0.0001
